date,window,pm25,pm10,location_id,location_name,pm25_category,pm10_category
2021-07-09,Window 1 (Jul 2021 - Oct 2022),27.985714285714288,51.228571428571435,229252,NSI Kalyanpur,Good,Satisfactory
2021-07-12,Window 1 (Jul 2021 - Oct 2022),27.366666666666664,40.699999999999996,229252,NSI Kalyanpur,Good,Good
2021-07-13,Window 1 (Jul 2021 - Oct 2022),19.45,43.15,229252,NSI Kalyanpur,Good,Good
2021-07-14,Window 1 (Jul 2021 - Oct 2022),27.153333333333332,55.05333333333333,229252,NSI Kalyanpur,Good,Satisfactory
2021-07-17,Window 1 (Jul 2021 - Oct 2022),20.633333333333336,30.266666666666666,229252,NSI Kalyanpur,Good,Good
2021-07-18,Window 1 (Jul 2021 - Oct 2022),17.533333333333335,28.96666666666667,229252,NSI Kalyanpur,Good,Good
2021-07-19,Window 1 (Jul 2021 - Oct 2022),11.6,34.699999999999996,229252,NSI Kalyanpur,Good,Good
2021-07-20,Window 1 (Jul 2021 - Oct 2022),4.557142857142857,10.271428571428572,229252,NSI Kalyanpur,Good,Good
2021-07-21,Window 1 (Jul 2021 - Oct 2022),10.92,33.44,229252,NSI Kalyanpur,Good,Good
2021-07-22,Window 1 (Jul 2021 - Oct 2022),16.95,33.9,229252,NSI Kalyanpur,Good,Good
2021-07-23,Window 1 (Jul 2021 - Oct 2022),0.0,0.0,229252,NSI Kalyanpur,Good,Good
2021-07-24,Window 1 (Jul 2021 - Oct 2022),0.0,0.0,229252,NSI Kalyanpur,Good,Good
2021-07-25,Window 1 (Jul 2021 - Oct 2022),26.1,46.25,229252,NSI Kalyanpur,Good,Good
2021-08-25,Window 1 (Jul 2021 - Oct 2022),32.7,125.0,229252,NSI Kalyanpur,Satisfactory,Moderate
2021-09-01,Window 1 (Jul 2021 - Oct 2022),28.36111111111111,66.15,229252,NSI Kalyanpur,Good,Satisfactory
2021-09-02,Window 1 (Jul 2021 - Oct 2022),27.96,69.735,229252,NSI Kalyanpur,Good,Satisfactory
2021-09-03,Window 1 (Jul 2021 - Oct 2022),19.533333333333335,49.25833333333333,229252,NSI Kalyanpur,Good,Good
2021-09-04,Window 1 (Jul 2021 - Oct 2022),11.210714285714285,31.04047619047619,229252,NSI Kalyanpur,Good,Good
2021-09-05,Window 1 (Jul 2021 - Oct 2022),18.50111111111111,44.46,229252,NSI Kalyanpur,Good,Good
2021-09-06,Window 1 (Jul 2021 - Oct 2022),34.555,58.2325,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-09-07,Window 1 (Jul 2021 - Oct 2022),17.31125,37.475,229252,NSI Kalyanpur,Good,Good
2021-09-08,Window 1 (Jul 2021 - Oct 2022),19.516666666666666,37.43333333333333,229252,NSI Kalyanpur,Good,Good
2021-09-09,Window 1 (Jul 2021 - Oct 2022),15.49375,39.18125,229252,NSI Kalyanpur,Good,Good
2021-09-10,Window 1 (Jul 2021 - Oct 2022),10.566666666666666,47.22222222222222,229252,NSI Kalyanpur,Good,Good
