location_name,month,pm25,pm10
NSI Kalyanpur,1,58.1,134.6
NSI Kalyanpur,2,47.9,113.3
NSI Kalyanpur,3,43.9,107.4
NSI Kalyanpur,4,40.3,113.4
NSI Kalyanpur,5,35.9,94.6
NSI Kalyanpur,6,36.5,96.1
NSI Kalyanpur,7,17.4,43.3
NSI Kalyanpur,8,16.1,39.9
NSI Kalyanpur,9,22.7,48.5
NSI Kalyanpur,10,47.8,83.6
NSI Kalyanpur,11,94.8,161.4
NSI Kalyanpur,12,70.8,149.7
Nehru Nagar,1,73.3,139.0
Nehru Nagar,2,54.9,83.6
Nehru Nagar,3,46.0,74.7
Nehru Nagar,4,58.1,102.8
Nehru Nagar,5,44.1,82.1
Nehru Nagar,6,35.0,67.7
Nehru Nagar,7,23.4,40.0
Nehru Nagar,8,22.7,34.8
Nehru Nagar,9,34.8,51.5
Nehru Nagar,10,62.1,116.0
Nehru Nagar,11,84.9,201.0
Nehru Nagar,12,66.7,141.6
