Date,Year,Month,Day,Season,LST_Skin_C,Air_Temp_2M_C,Temp_Max_2M_C,Temp_Min_2M_C,Delta_T_Skin_Air_C,Diurnal_Thermal_Range_C,Solar_Radiation_MJ_m2,Relative_Humidity_Pct,Wind_Speed_2M_mps
2017-01-01,2017,1,1,Winter,14.23,15.37,22.86,9.76,-1.1399999999999988,13.1,8.2,60.88,1.6
2017-01-02,2017,1,2,Winter,15.91,16.38,23.44,10.47,-0.46999999999999886,12.97,4.07,65.77,1.28
2017-01-03,2017,1,3,Winter,16.11,16.64,24.32,11.04,-0.5300000000000011,13.280000000000001,5.1,58.21,1.05
2017-01-04,2017,1,4,Winter,15.81,16.84,25.39,9.87,-1.0299999999999994,15.520000000000001,8.46,49.05,1.5
2017-01-05,2017,1,5,Winter,15.95,17.3,26.21,9.31,-1.3500000000000014,16.9,9.58,49.33,1.65
2017-01-06,2017,1,6,Winter,16.69,17.21,26.64,9.59,-0.5199999999999996,17.05,10.91,49.03,1.86
2017-01-07,2017,1,7,Winter,16.96,16.94,26.22,9.44,0.019999999999999574,16.78,8.95,55.05,2.16
2017-01-08,2017,1,8,Winter,17.16,16.93,24.58,11.15,0.23000000000000043,13.429999999999998,4.16,58.77,1.75
2017-01-09,2017,1,9,Winter,16.81,16.26,23.16,10.6,0.5499999999999972,12.56,7.24,65.94,1.71
2017-01-10,2017,1,10,Winter,14.56,14.4,22.7,8.57,0.16000000000000014,14.129999999999999,12.9,33.59,2.7
2017-01-11,2017,1,11,Winter,11.08,11.3,21.57,3.6,-0.22000000000000064,17.97,14.92,27.16,2.1
2017-01-12,2017,1,12,Winter,9.56,10.36,19.45,3.24,-0.7999999999999989,16.21,13.35,28.96,1.6
2017-01-13,2017,1,13,Winter,9.19,10.97,19.4,2.61,-1.7800000000000011,16.79,12.92,29.52,1.53
2017-01-14,2017,1,14,Winter,11.71,13.51,22.87,4.35,-1.799999999999999,18.520000000000003,12.23,30.21,1.16
2017-01-15,2017,1,15,Winter,13.2,14.87,23.84,7.18,-1.67,16.66,11.98,27.85,1.2
2017-01-16,2017,1,16,Winter,15.22,16.88,26.26,7.94,-1.6599999999999984,18.32,11.66,35.32,1.33
2017-01-17,2017,1,17,Winter,14.7,14.74,24.1,7.69,-0.040000000000000924,16.41,9.77,40.36,1.55
2017-01-18,2017,1,18,Winter,14.67,15.53,24.5,7.41,-0.8599999999999994,17.09,8.28,33.94,1.36
2017-01-19,2017,1,19,Winter,15.05,15.26,25.06,7.83,-0.20999999999999908,17.229999999999997,10.33,35.24,1.72
2017-01-20,2017,1,20,Winter,15.54,15.46,25.94,7.82,0.0799999999999983,18.12,13.59,31.2,2.55
2017-01-21,2017,1,21,Winter,15.39,15.84,25.34,7.49,-0.4499999999999993,17.85,12.49,32.92,1.75
2017-01-22,2017,1,22,Winter,17.26,17.69,27.89,9.89,-0.4299999999999997,18.0,12.84,33.2,1.6
2017-01-23,2017,1,23,Winter,18.55,18.57,28.69,11.0,-0.019999999999999574,17.69,13.14,43.12,2.14
2017-01-24,2017,1,24,Winter,18.33,19.59,28.6,10.93,-1.2600000000000016,17.67,13.77,39.95,1.52
2017-01-25,2017,1,25,Winter,18.76,20.0,28.86,12.91,-1.2399999999999984,15.95,14.21,44.42,1.04
2017-01-26,2017,1,26,Winter,19.39,19.57,29.44,11.31,-0.17999999999999972,18.130000000000003,13.6,46.31,1.6
2017-01-27,2017,1,27,Winter,14.87,15.12,20.8,11.34,-0.25,9.46,8.59,74.38,1.81
2017-01-28,2017,1,28,Winter,15.96,15.63,24.87,8.49,0.33000000000000007,16.380000000000003,16.38,63.34,2.2
2017-01-29,2017,1,29,Winter,16.28,16.32,26.15,8.44,-0.03999999999999915,17.71,13.09,50.88,2.05
2017-01-30,2017,1,30,Winter,16.52,17.91,26.76,8.97,-1.3900000000000006,17.79,11.71,39.64,1.47
2017-01-31,2017,1,31,Winter,16.91,18.57,26.83,10.19,-1.6600000000000001,16.64,13.1,38.89,1.58
